id,post_id,score,creation_date,user_id
3,5,0,2016-08-02T15:44:46.497,8
4,7,1,2016-08-02T15:46:22.807,9
5,5,0,2016-08-02T15:48:10.880,5
7,7,1,2016-08-02T15:50:04.773,26
9,22,1,2016-08-02T16:00:04.297,10
10,15,6,2016-08-02T16:01:10.020,38
11,22,0,2016-08-02T16:04:37.090,33
12,38,0,2016-08-02T16:10:50.473,55
13,5,1,2016-08-02T16:13:09.223,75
14,41,1,2016-08-02T16:14:28.373,47
19,5,0,2016-08-02T16:25:20.080,33
21,45,0,2016-08-02T16:27:04.927,47
23,45,1,2016-08-02T16:31:39.357,47
24,45,0,2016-08-02T16:49:20.210,71
27,91,1,2016-08-02T17:24:37.360,46
28,96,0,2016-08-02T17:31:42.210,109
29,89,4,2016-08-02T17:33:08.630,46
30,89,0,2016-08-02T17:34:11.060,75
42,128,0,2016-08-02T19:58:49.527,10
43,134,1,2016-08-02T20:37:40.960,152
44,140,1,2016-08-02T20:57:01.210,157
45,129,0,2016-08-02T21:07:42.157,46
46,129,1,2016-08-02T21:14:17.617,10
49,129,0,2016-08-02T21:33:52.220,46
54,147,3,2016-08-02T23:05:28.937,46
55,96,0,2016-08-03T00:21:34.247,75
56,114,1,2016-08-03T01:03:01.800,130
57,24,0,2016-08-03T01:57:29.823,85
60,173,0,2016-08-03T06:21:45.740,55
61,186,0,2016-08-03T06:37:52.803,169
62,183,0,2016-08-03T06:41:18.960,169
63,183,0,2016-08-03T06:43:01.913,101
64,184,0,2016-08-03T06:43:19.990,169
65,183,1,2016-08-03T06:45:36.663,169
66,186,3,2016-08-03T06:47:44.710,29
67,177,1,2016-08-03T07:03:17.890,42
70,183,0,2016-08-03T08:52:35.857,101
71,196,0,2016-08-03T08:54:59.873,145
72,183,0,2016-08-03T08:58:21.307,169
74,70,1,2016-08-03T09:01:54.837,169
75,198,1,2016-08-03T09:07:02.650,145
76,161,0,2016-08-03T09:08:29.010,42
77,199,0,2016-08-03T09:15:32.587,210
78,177,0,2016-08-03T09:22:41.850,70
80,107,0,2016-08-03T09:36:25.587,8
82,28,0,2016-08-03T09:43:35.063,218
87,186,0,2016-08-03T10:12:13.397,169
88,82,0,2016-08-03T10:16:29.460,42
90,107,0,2016-08-03T12:30:17.290,112
93,211,0,2016-08-03T13:02:25.013,8
94,211,0,2016-08-03T13:03:15.440,8
95,211,0,2016-08-03T13:05:07.193,74
97,211,0,2016-08-03T13:05:23.817,74
99,211,0,2016-08-03T13:07:58.820,8
100,211,0,2016-08-03T13:14:14.823,74
101,211,0,2016-08-03T14:11:09.553,8
103,24,0,2016-08-03T14:25:05.593,56
104,220,0,2016-08-03T14:26:08.783,74
105,220,1,2016-08-03T14:27:45.187,8
107,220,0,2016-08-03T14:41:12.927,5
108,7,2,2016-08-03T14:42:57.297,236
109,224,0,2016-08-03T15:04:44.600,5
110,224,0,2016-08-03T15:07:48.430,148
111,224,0,2016-08-03T15:09:27.193,5
112,96,0,2016-08-03T15:21:16.153,5
113,226,0,2016-08-03T15:45:08.680,148
114,226,0,2016-08-03T15:55:24.857,10
115,226,0,2016-08-03T15:59:00.817,148
116,226,0,2016-08-03T16:01:57.873,10
121,226,0,2016-08-03T16:13:49.570,10
124,237,1,2016-08-03T16:33:18.713,50
126,237,0,2016-08-03T16:50:27.643,8
127,237,0,2016-08-03T17:05:17.727,50
128,237,0,2016-08-03T17:18:04.650,39
129,186,0,2016-08-03T17:32:02.793,55
130,217,0,2016-08-03T17:36:58.590,
131,242,0,2016-08-03T17:42:09.997,30
132,217,0,2016-08-03T17:47:06.510,42
133,242,0,2016-08-03T17:58:03.387,66
134,225,0,2016-08-03T18:22:27.873,75
140,229,3,2016-08-03T22:59:57.080,130
141,229,0,2016-08-03T23:07:28.157,5
142,229,0,2016-08-03T23:15:20.917,5
